,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
2131,PLED 351,Church Assimilation and Development,3,([PLED 201]),,Junior Status,Residential,
2132,PLED 400,Practicum III,1,([PLED 201]{concurrent} and [PLED 302]{concurrent} and [PLED 351]{concurrent}),,,Residential,
2133,PLED 421,Homiletics I,3,(([COMS 101] or [GLST 220]) and [BIBL 350]),,Junior Status,Residential,
2134,PLED 422,Homiletics II,3,([PLED 421]),,,Residential,
2135,PLED 446,Christocentric Preaching,3,([PLED 421] and [PLED 201]),,,Residential,
2136,PLED 450,Leadership and Management in the Local Church,3,,,,Residential and Online,
2137,PLED 452,Critical Issues in Pastoral Leadership,3,([PLED 201] and [PLED 301] and [PLED 302]),,Senior Status,Residential,
2138,PLED 495,Directed Research,1-3,,,,Residential,
2139,PLED 497,Special Topics in Pastoral Ministries,1-3,,,,Residential,
2140,PLED 499,Pastoral Leadership Internship,1-6,,,Junior status,Residential,
2141,PHIL 200,Pursuits of Happiness,3,,,,Online,
2142,PHIL 201,Philosophy and Contemporary Ideas,3,([ENGL 101]),,,Residential and Online,
2143,PHIL 210,Logic,3,,,,Residential,
2144,PHIL 240,Christian Evidences,3,,,,Residential and Online,
2145,PHIL 301,History of Philosophy I,3,,,,Residential,
2146,PHIL 302,History of Philosophy II,3,,,,Residential,
2147,PHIL 303,History of Philosophy III,3,,,,Residential,
2148,PHIL 305,Political Philosophy,3,,,,Online,
2149,PHIL 310,Symbolic Logic,3,([PHIL 210]),,,Residential,
2150,PHIL 346,Eastern Philosophies,3,,,,Residential,
2151,PHIL 350,Ethics,3,,,,Residential,
2152,PHIL 360,Philosophy of Science,3,,,,Residential,
2153,PHIL 380,Biomedical Ethics,3,,,,Residential and Online,
2154,PHIL 385,Seminar on Memoirs,3,,,,Online,
2155,PHIL 405,Freedom and Society,3,,([PHIL 200] and [PHIL 305]),,Online,
2156,PHIL 420,Epistemology,3,([PHIL 201] or [PHIL 210] or [PHIL 240] or [PHIL 301] or [PHIL 302] or [PHIL 303] or [PHIL 310] or [PHIL 346] or [PHIL 350] or [PHIL 360] or [PHIL 380] or [PHIL 429] or [PHIL 465] or [PHIL 468]),,,Residential,
2157,PHIL 429,The Thought of St. Augustine,3,,,,Residential,
2158,PHIL 430,Metaphysics,3,([PHIL 201] or [PHIL 210] or [PHIL 240] or [PHIL 301] or [PHIL 302] or [PHIL 303] or [PHIL 310] or [PHIL 346] or [PHIL 350] or [PHIL 360] or [PHIL 380] or [PHIL 429] or [PHIL 465] or [PHIL 468]),,,Residential,
2159,PHIL 440,Philosophy of Religion,3,([PHIL 201] or [PHIL 210] or [PHIL 240] or [PHIL 301] or [PHIL 302] or [PHIL 303] or [PHIL 310] or [PHIL 346] or [PHIL 350] or [PHIL 360] or [PHIL 380] or [PHIL 429] or [PHIL 465] or [PHIL 468]),,,Residential,
2160,PHIL 465,The Thought of C.S. Lewis,3,,,,Residential,
2161,PHIL 468,The Thought of J.R.R. Tolkien,3,,,,Residential,
2162,PHIL 491,"Philosophy, Politics, and Economics Capstone",3,,([PHIL 405]),,Online,
2163,PHIL 495,Directed Research,1-3,,,,Residential,
2164,PHIL 497,Special Topics in Philosophy,1-3,([PHIL 201] or [PHIL 210] or [PHIL 240] or [PHIL 301] or [PHIL 302] or [PHIL 303] or [PHIL 310] or [PHIL 346] or [PHIL 350] or [PHIL 360] or [PHIL 380] or [PHIL 429] or [PHIL 465] or [PHIL 468]),,,Residential,
2165,PHED 101,Physical Fitness,1,,,,Residential,
2166,PHED 140,Introduction to Athletic Training,2,,,,,
2167,PHED 141,Advanced Athletic Training,2,,,,,
2168,PHED 170,Equestrian: Horsemanship I,2,,,,Residential,
2169,PHED 189,PE Observations in Schools,1,,,,Residential,
2170,PHED 200,Basketball/Soccer,1,,,Physical Education and Health Major or Minor,Residential,
2171,PHED 201,Flag Football/Innovative Games,1,,,Physical Education and Health Major or Minor,Residential,
2172,PHED 202,Racquet Sports,1,,,Physical Education and Health Major or Minor,Residential,
2173,PHED 203,Tumbling and Rhythmic Activities,1,,,Physical Education and Health Major or Minor,Residential,
2174,PHED 204,Softball/Volleyball,1,,,Physical Education and Health Major or Minor,Residential,
2175,PHED 205,Innovative Games,1,,,Physical Education and Health Major or Minor,Residential,
2176,PHED 207,History and Foundations of Physical Education,2,,,,Residential,
2177,PHED 208,Motor Learning,2,,,,Residential,
2178,PHED 209,Motor Learning Lab,1,,,,Residential,
2179,PHED 216,Field Hockey,1,,,,Residential,
2180,PHED 217,Lacrosse,1,,,,Residential,
2181,PHED 218,Tennis,1,,,,Residential,
2182,PHED 219,Mountain Biking,1,,,,Residential,
2183,PHED 220,Bowling,1,,,,Residential,
2184,PHED 221,Golf,1,,,,Residential,
2185,PHED 222,Archery,1,,,,,
2186,PHED 224,Tumbling/Gymnastics,1,,,,,
2187,PHED 225,Weight Training/Conditioning,1,,,,Residential,
2188,PHED 226,Wrestling,1,,,,Residential,
2189,PHED 227,Fencing,1,,,,,
2190,PHED 228,Beginning Swimming,1,,,,Residential,
2191,PHED 229,Intermediate/Advanced Swimming,1,,,,Residential,
2192,PHED 230,Lifeguard Training (American Red Cross),2,,,"Intermediate level swimming competency, current adult CPR certification, and first aid course certification",Residential,
2193,PHED 231,Water Safety Instructor (American Red Cross),3,,,Swimmer level swimming competency and current certificate of American Red Cross Emergency Water Safety or Lifeguard Training Course,Residential,
2194,PHED 232,Recreational Sports,1,,,,Residential,
2195,PHED 233,Mixed Martial Arts,1,,,,Residential,
2196,PHED 234,Hapkido,1,,,,Residential,
2197,PHED 235,Beginning Running,1,,,,Residential,
2198,PHED 236,Advanced Running,1,,,,Residential,
2199,PHED 237,Ice Hockey,1,,,,Residential,
2200,PHED 270,Equestrian: Horsemanship II,2,([PHED 170]),,,Residential,
2201,PHED 280,Equestrian: Horsemanship III,2,([PHED 270]),,,Residential,
2202,PHED 289,PE Student Aide: Elementary,1,(([PHED 189] or PHED 245) and Undergraduate Initial Gate 2 with a score of 5 and Background Check Clearance with a score of 5),,,Residential,(Offered spring semester)
2203,PHED 299,Internship,0,,,,Residential,
2204,PHED 304,Coaching Football,3,,,,,
2205,PHED 306,Coaching Basketball,3,,,,,
2206,PHED 310,Physiology of Exercise,3,,,,,
2207,PHED 311,Kinesiology,3,,,,,
2208,PHED 314,Officiating in Athletics,2,,,,,
2209,PHED 320,Measure & Eval in Hlth and PE,3,,,,,
2210,PHED 326,PE Student Aide:Middle or Seco,1,,,,,
2211,PHED 333,Adapted PE,2,,,,,
2212,PHED 334,Adapted PE Lab,1,,,,,
2213,PHED 335,Adapted Physical Activity,2,,,Junior status,Residential,
2214,PHED 336,Adapted Physical Activity Lab,1,,,Junior status,Residential,
2215,PHED 340,Coaching Strength and Weight Training,3,,,,,
2216,PHED 352,Teaching Physical Education in the Elementary School,2,,,Junior status,Residential,
2217,PHED 389,PE Student Aide: Secondary,1,(([PHED 189] or PHED 245) and [PHED 451] and Undergraduate Initial Gate 2 with a score of 5 and Background Check Clearance with a score of 5),,,Residential,(Offered fall semester)
2218,PHED 401,Physical Education Practicum-S,2,,,,,
2219,PHED 404,"Adm/Org of PE, SMGT, Exer.Sci",3,,,,,
2220,PHED 405,"Administration and Organization of Physical Education, Exercise and Fitness",3,,,Junior status.,Residential,
2221,PHED 435,Seminar for Student Teachers,2,(EDUC 475 and EDUC 476),,Admission to Student Teaching,Residential,
2222,PHED 450,Elementary Physical Education Methods & Behavior Management,3,([PHED 207] and [PHED 208] and Undergraduate Initial Gate 2 with a score of 5 and Background Check Clearance with a score of 5),,Junior status,Residential,(Offered spring semester)
2223,PHED 451,Secondary Physical Education Methods,3,([PHED 207] and [PHED 208] and Undergraduate Initial Gate 2 with a score of 5 and Background Check Clearance with a score of 5),,Junior status,Residential,(Offered fall semester)
2224,PHED 460,Exercise Test/Eval/Perscriptio,3,,,,,
2225,PHED 461,Exercise Leadership,3,,,,,
2226,PHED 495,Independent Study,1-3,,,,,
2227,PHED 496,Directed Research in Kinesiology,1-3,,,"Permission of the Department Chairman, Junior status and a minimum cumulative GPA of 2.50",Residential,
2228,PHED 497,Special Topics in Kinesiology,1-3,,,,,
2229,PHED 499,Professional Practicum in PE,3,,,,,
2230,PHSC 101,Elements of Physics,3,,,,,
2231,PHSC 102,Elements of Physical Science,3,,,,Residential,
2232,PHSC 103,Elements of Physics Lab,1,,,,,
2233,PHSC 104,Elements of Physical Science Lab,1,,,,Residential,
2234,PHSC 121,Introduction to Astronomy,3,,,,Residential and Online,
2235,PHSC 122,Elements of Astronomy Lab,1,,,,Residential and Online,
2236,PHSC 210,Elements of Earth Science,3,,,,Residential and Online,
2237,PHSC 211,Elements of Earth Science Lab,1,,,,Residential and Online,
2238,PHSC 310,Astronomy: An Integrated Approach,4,([PHSC 101] or [PHSC 102] or [PHYS 101]),,,Residential,
2239,PHSC 311,Oceanography,3,,([PHSC 210]),,Online,
2240,PHSC 312,Meteorology,3,,([CHEM 105] or [CHEM 107] or [CHEM 108] or [CHEM 115] or [CHEM 121] or [CHEM 122] or [CHEM 131] or [CHEM 132] or [CHEM 135] or [CHEM 136] or [CHEM 301] or [CHEM 302] or [CHEM 321] or [CHEM 322] or [CHEM 400] or [CHEM 461] or [CHEM 462] or [CHEM 465] or [CHEM 466] or [CHEM 471] or [CHEM 495] or [CHEM 497] or [CHEM 499] or [PHSC 102] or [PHSC 103] or [PHSC 104] or [PHSC 121] or [PHSC 122] or [PHSC 210] or [PHSC 211] or [PHSC 310] or [PHSC 311] or [PHSC 313] or [PHYS 101] or [PHYS 103] or [PHYS 201] or [PHYS 202] or [PHYS 231] or [PHYS 232] or [PHYS 305] or [PHYS 310] or [PHYS 320] or [PHYS 321] or [PHYS 331] or [PHYS 432] or [PHYS 433] or [PHYS 440] or [PHYS 491] or [PHYS 495] or [PHYS 497] or [GEOG 200]),,Online,"Course prerequisite requirement isGEOG 200or any course with a PHYS, PHSC, or CHEM prefix"
2241,PHSC 313,Mineralogy and Petrology,4,,([PHSC 210] and [PHSC 211]),,Online,
2242,PHYS 101,Elements of Physics,3,,,,Residential and Online,
2243,PHYS 103,Elements of Physics Lab,1,,,,Residential and Online,
2244,PHYS 201,General Physics I,4,([MATH 121] or [MATH 122] or [MATH 126] or [MATH 128] or [MATH 131]),,,Residential and Online,Includes lab.
2245,PHYS 201L,General Physics Lab I,0,(([MATH 121] or [MATH 122] or [MATH 126] or [MATH 128] or [MATH 131]) and [PHYS 201]{concurrent}),,,Residential and Online,
2246,PHYS 202,General Physics II,4,([PHYS 201]),,,Residential,Includes lab.
2247,PHYS 202L,General Physics Lab II,0,([PHYS 201] and [PHYS 202]{concurrent}),,,Residential,
2248,PHYS 231,University Physics I,4,(([MATH 131] or ENGR 131) and [MATH 132]{concurrent}),([MATH 132]),,Residential and Online,
2249,PHYS 231L,University Physics Lab I,0,(([MATH 131]{concurrent} or ENGR 131) and [MATH 132]{concurrent} and [PHYS 231]{concurrent}),,,Residential,
2250,PHYS 232,University Physics II,4,([PHYS 231]),,,Residential and Online,
2251,PHYS 232L,University Physics Lab II,0,([PHYS 231] and [PHYS 232]{concurrent}),,,Residential,
2252,PHYS 305,Introduction to Modern Physics,3,(([MATH 231] or [MATH 430]) and [PHYS 232]),,,Residential and Online,
2253,PHYS 310,Numerical Methods in Physics,3,,([PHYS 232] and ([MATH 231] or [MATH 430])),,Online,
2254,PHYS 320,Thermodynamics,3,([PHYS 231] and [MATH 231]),,,Residential,
2255,PHYS 321,Mechanics,3,,([PHYS 231] and ([MATH 231] or [MATH 430])),,Online,
2256,PHYS 331,Electricity and Magnetism,3,,([PHYS 232] and ([MATH 231] or [MATH 430])),,Online,
2257,PHYS 432,Thermodynamics and Statistical Mechanics,3,,([PHYS 305] and [PHYS 321]),,Online,
2258,PHYS 433,Quantum Physics,3,,([PHYS 305] and [PHYS 321]),,Online,
2259,PHYS 440,Wave Optics,4,,([PHYS 331]),,Online,
2260,PHYS 491,Physics Capstone,3,,([PHYS 305] and [PHYS 310] and [PHYS 321] and [PHYS 331]),Senior students only,Online,
2261,PHYS 495,Directed Research,1-3,,,,Residential,
2262,PHYS 497,Special Topics in Physics,1-3,,,,Online,
2263,PLMB 101,Foundations of Plumbing,4,([CRFT 101]{concurrent}),,,Residential,
2264,PLMB 201,Intermediate Plumbing,4,([PLMB 101] and [CRFT 101]),,,Residential,
2265,PLMB 301,Advanced Plumbing,4,([PLMB 201] and [CRFT 101]),,,Residential,
2266,PLMB 401,Special Topics in Plumbing,4,([PLMB 301] and [CRFT 101]),,,Residential,
2267,PRTH 140,Church Administration,3,,,,Online,Willmington School of the Bible course
2268,PRTH 141,Pastoral Theology,3,,,,Online,Willmington School of the Bible course
2269,PRTH 172,Hermeneutics I,3,,,,Online,Willmington School of the Bible course
2270,PRTH 173,Hermeneutics II,3,,,,Online,Willmington School of the Bible course
2271,PSYC 101,General Psychology,3,,,,Residential and Online,
2272,PSYC 200,General Psychology,3,,,,,
2273,PSYC 210,Developmental Psychology,3,,,,Residential and Online,
2274,PSYC 221,Psychology of Childhood,3,(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential and Online,
2275,PSYC 231,Psychology of Adolescence,3,(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential and Online,
2276,PSYC 235,Psychology of Adulthood,3,(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential and Online,
2277,PSYC 255,Introduction to Research,3,([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201),,,Residential and Online,
2278,PSYC 299,Internship,0,([PSYC 255]),,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential and Online,
2279,PSYC 305,Overview of Theory and Treatment of Substance Abuse,3,(([PSYC 101] or [PSYC 210] or [SOCI 201]) and [PSYC 255]),,,Residential and Online,
2280,PSYC 306,Advanced Theory and Treatment of Substance Abuse,3,(([PSYC 101] or [PSYC 210] or [SOCI 201]) and [PSYC 255]),,,Residential and Online,
2281,PSYC 307,Treatment and Recovery of Addictions,3,([PSYC 305] and ([PSYC 101] or [PSYC 210]) and [PSYC 255]),([PSYC 255] and ([PSYC 101] or [PSYC 210])),,Residential and Online,
2282,PSYC 308,Diagnosis and Treatment of Sexual Addiction,3,([PSYC 305] and ([PSYC 101] or [PSYC 210]) and [PSYC 255]),([PSYC 255] and ([PSYC 101] or [PSYC 210])),,Residential and Online,
2283,PSYC 309,Healthy Sexuality,3,([PSYC 305] and ([PSYC 101] or [PSYC 210]) and [PSYC 255]),([PSYC 255] and ([PSYC 101] or [PSYC 210])),,Residential and Online,
2284,PSYC 310,Cognitive Psychology,3,,,,Residential and Online,
2285,PSYC 311,Educational Psychology,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential,
2286,PSYC 312,Social Psychology,3,(([PSYC 200] or [SOCI 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2287,PSYC 313,Multicultural Counseling & Res,3,,,,,
2288,PSYC 315,Applied Psychology,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential,
2289,PSYC 316,Industrial and Organizational Psychology,3,(([PSYC 101] or [PSYC 210] or [PSYC 200] or GEED 201) and [PSYC 255]),,,Residential,
2290,PSYC 317,Crisis Intervention,3,([PSYC 255] and ([PSYC 101] or [PSYC 210])),(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,Residential and Online,
2291,PSYC 318,Consumer Psychology,3,(([PSYC 101] or [PSYC 210] or [PSYC 200] or GEED 201) and [PSYC 255]),,,Residential,
2292,PSYC 320,Behavior Modification,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2293,PSYC 321,Psychology of Childhood,3,,,,,
2294,PSYC 331,Psychology of Adolescence,3,,,,,
2295,PSYC 335,Psychology of Adulthood,3,,,,,
2296,PSYC 336,Gerontology,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2297,PSYC 341,Psychology of Personality,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2298,PSYC 345,Exceptional Child,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2299,PSYC 350,Bibliotherapy,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential,
2300,PSYC 351,Multicultural Counseling and Research Issues,3,(([PSYC 101] or [PSYC 210] or [PSYC 200] or GEED 201) and [PSYC 255]),,,Residential and Online,
2301,PSYC 354,Statistics for the Social Sciences,3,(([PSYC 101] or [PSYC 210]) and ([MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 123] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 132] or [MATH 200] or [MATH 201] or [BUSI 230] or [MATH 217] or [MATH 221] or [MATH 231] or [MATH 250]) and [PSYC 255]),,,Residential and Online,
2302,PSYC 355,Statistics in Psychology,3,(([PSYC 101] or [PSYC 210]) and ([MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 123] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 132] or [MATH 200] or [MATH 201] or [BUSI 230] or [MATH 211] or [MATH 217] or [MATH 221] or [MATH 231] or [MATH 250]) and [PSYC 354] and [PSYC 255]),,,Residential and Online,
2303,PSYC 356,Introduction to Qualitative Research,3,(([PSYC 101] or [PSYC 200] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential,
2304,PSYC 360,Psychology of Wisdom Tradition,3,,,,,
2305,PSYC 361,Marriage and Family,3,([PSYC 255] and ([PSYC 101] or [PSYC 210])),,,Residential,
2306,PSYC 365,Psychological Foundations of Learning,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2307,PSYC 371,Theories in Counseling and Psychotherapy,3,(([PSYC 101] or [PSYC 210]) and [PSYC 255]),,,Residential and Online,
2308,PSYC 380,Physiological Psychology,3,([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255] and ([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80),(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,Residential and Online,
2309,PSYC 401,History and Systems of Psychology,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential,
2310,PSYC 405,Group Dynamics,3,(([PSYC 200] or [PSYC 210] or [PSYC 101] or GEED 201) and [PSYC 255]),,,Residential and Online,
2311,PSYC 406,Addictions and the Recovery Process,3,(([PSYC 101] or [PSYC 210]) and [PSYC 255] and [PSYC 306]),,,Residential,
2312,PSYC 407,"Addictions Groups, Ethics and the Community",3,([PSYC 371] and [PSYC 406] and [PSYC 255] and ([PSYC 101] or [PSYC 210])),,,Residential,
2313,PSYC 410,Psychology of Religion,3,(([PSYC 101] or [PSYC 210] or [PSYC 200] or GEED 201) and [PSYC 255]),,,Residential,
2314,PSYC 420,Psychology and Christianity,3,(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential and Online,
2315,PSYC 421,Psychological Measurement,3,([PSYC 355] and [PSYC 255] and ([PSYC 101] or [PSYC 210])),,,Residential and Online,
2316,PSYC 425,Psychology of Criminal Behavior,3,(([PSYC 101] and [PSYC 341]) or ([PSYC 210] and [PSYC 345]) or ([PSYC 341] and [SOCI 200]) or ([PSYC 200] and [PSYC 341]) and [PSYC 255]),,,Residential,
2317,PSYC 430,Abnormal Psychology,3,([PSYC 255] and ([PSYC 101] or [PSYC 210])),,,Residential and Online,
2318,PSYC 440,Experimental Design in Research: Application and Construction,3,([PSYC 355] and [PSYC 255] and ([PSYC 101] or [PSYC 210])),,,Residential,
2319,PSYC 450,Children in Healthcare,3,([PSYC 255] and ([PSYC 101] or [PSYC 210])),([PSYC 210] and [PSYC 221]),,Residential and Online,Successful completion of Children in Healthcare will meet the child life course criteria outlined by the Child Life Council. Students interested in pursuing the Child Life Professional Certification Examination are responsible for meeting with the professor after the completion of the course to complete their verification form.
2320,PSYC 460,Counseling Processes and Techniques,3,(([PSYC 101] or [PSYC 210]) and [PSYC 371] and [PSYC 255]),,,Residential,
2321,PSYC 475,Psychology of Criminal Behavior,3,([PSYC 341] and ([PSYC 101] or [PSYC 210]) and [PSYC 255]),,,Residential and Online,
2322,PSYC 491,Capstone in Psychology,3,,([PSYC 255] and ([PSYC 101] or [PSYC 200] or [PSYC 210] or GEED 201)),"(PSYC 101,PSYC 200,PSYC 210, or GEED 201) andPSYC 255(Minimum grade of C), Senior or Junior Status, 18 credits of PSYC coursework successfully completed",Online,
2323,PSYC 495,Directed Research,1-3,(([PSYC 101] or [PSYC 200] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential,
2324,PSYC 497,Special Topics in Psychology,3,(([PSYC 200] or [PSYC 101] or [PSYC 210] or GEED 201) and [PSYC 255]),,,Residential and Online,
2325,PSYC 498,Senior Project,3,([PSYC 355] and [PSYC 440]),,,Residential and Online,
2326,PSYC 499,Internship,1-6,(([PSYC 101] or [PSYC 200] or [PSYC 210] or GEED 201) and [PSYC 255]),,"2.00+ overall GPA, Senior or Junior Status, 18 credits of PSYC coursework successfully completed, suitable internship site, completed Student Internship Agreement (SIA), and Admissions to a BS Psychology degree",Residential and Online,
2327,PADM 360,Introduction to Public Administration,3,([GOVT 200]),,,Residential and Online,
2328,PADM 462,Public Financing & Budgeting,3,([GOVT 200]),,,Residential and Online,
2329,PADM 475,Advanced Public Administration,3,([GOVT 200]),,,Residential and Online,
2330,PADM 480,Legal & Political Issues in Public Administration,3,,([GOVT 200]),,Online,
2331,PADM 485,Public Administration Leadership & Community Engagement,3,,([GOVT 200]),,Online,
2332,PADM 492,Public Administration Seminar,3,,([GOVT 200]),,Online,
2333,RMGT 210,Introduction to Paddling,2,,,,Residential,
2334,RLGN 104,Christian Life and Biblical Worldview,4,,,,Residential and Online,
2335,RLGN 105,Introduction to Biblical Worldview,2,,,,Residential and Online,
2336,RLGN 210,Introduction to Cultural Engagement,3,,,,Online,
2337,RLGN 301,Research and Writing for Religious Disciplines,3,,([BIBL 105] and [BIBL 110] and [ENGL 101] and [THEO 201] and [THEO 202] and (INFT 101 or [UNIV 101] or [UNIV 104] or Exemption: [UNIV 104] Score of 5 with a score of 5)),,Online,
2338,RLGN 340,Global Religious Movements,3,,([APOL 220]),,Online,
2339,RLGN 350,World Religions,3,,,,Residential,
2340,RLGN 360,Practical Teaching of Scripture,3,,([RLGN 301] and [THEO 360] and [BIBL 360] and [BIBL 105] and [BIBL 110]) or ([RLGN 301] and [THEO 360] and [BIBL 360] and [BIBL 205] and [BIBL 210]) or ([RLGN 301] and [THEO 360] and [BIBL 360] and [BIBL 110] and [BIBL 205]) or ([RLGN 301] and [THEO 360] and [BIBL 360] and [BIBL 105] and [BIBL 210]) or ([RLGN 301] and [THEO 360] and [BIBL 360] and [BIBL 104]),,Online,
2341,RLGN 410,Contextualization and Cultural Engagement,3,,([THEO 310]),,Online,
2342,RLGN 480,Cultural Engagement Capstone Seminar,3,,([RLGN 410]),,Online,
2343,RLGN 489,Ministry Praxis Capstone,3,,([BIBL 360] or [BIBL 350]) and ([THEO 360] or [THEO 350]) and ([RLGN 360] or [CHMN 387]),Student must be a BS in Religion major and senior status,Online,
2344,RLGN 490,Research and Scholarly Capstone,3,,([RLGN 360] or [RLGN 350]) and ([BIBL 360] or [BIBL 350]) and ([THEO 360] or [CHMN 387]),Must be a School of Divinity student enrolled in either the BS in Religion or BS in Bible and senior status.,Online,
2345,RLST 489,Religious Studies Capstone,3,([BIBL 350] and [THEO 350]),,Senior Status,Residential,
2346,RLST 499,Biblical and Theological Studies Internship,3-6,([BIBL 350] or [BIBL 360]) and ([THEO 350] or [THEO 360]),,Junior/Senior status; 3.00 GPA; 21 hours in the major,Residential,
2347,RSCH 000,Research Assessment,0,,,,Residential,
2348,RSCH 201,Research,3,([INQR 101] or Inquiry Research with a score of 80 or Inquiry Assessment with a score of 80),,,Residential,
2349,RSCH 202,Interdisciplinary Research,3,,([INQR 101] or [INQR 102]),,Online,
2350,RSCH 301,Research Verification,3,,(([RSCH 202] or [RSCH 201]) and [PSYC 355] or ([MATH 131] or [MATH 132] or [MATH 133] or [MATH 201] or [MATH 202] or [MATH 211] or [MATH 217] or [MATH 250])),,Online,
2351,RSCH 401,Interdisciplinary Research Methods,3,,([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80),,Online,
2352,RSCH 490,Interdisciplinary Research Project,3,,([RSCH 401]),,Online,
2353,RESP 300,Respiratory Health and Disease,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2354,RESP 302,Respiratory Care Equipment and Techniques,4,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2355,RESP 304,Introduction to Respiratory Care,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2356,RESP 306,Pulmonary Function and Testing,4,,,"Admission to Respiratory Therapy, Junior/Senior status.",Residential,
2357,RESP 308,Artificial Ventilation,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2358,RESP 310,Clinical Observation,4,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2359,RESP 320,Neonatal Respiratory Care,2,,([RESP 300]),"Admission to BS Respiratory Therapy degree, Junior/Senior status.",Online,
2360,RESP 321,Pediatric Respiratory Care,2,([RESP 320]),,,Residential and Online,
2361,RESP 322,Respiratory Care for Special Populations,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2362,RESP 324,Respiratory Pharmacology,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2363,RESP 400,Critical Respiratory Care,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2364,RESP 402,Clinical Experience I,4,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential and Online,
2365,RESP 404,Guided Study in Respiratory Care,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Residential,
2366,RESP 406,Advanced Ventilatory Support,3,,,,Residential and Online,
2367,RESP 408,Pulmonary Disease Management,3,,,"Admission to Respiratory Therapy, Senior status",Residential,
2368,RESP 410,Seminar,3,,,"Admission to Respiratory Therapy, Senior status",Residential and Online,
2369,RESP 412,Clinical Experiences II,4,,,"Admission to Respiratory Therapy, Senior status",Residential and Online,
2370,RESP 420,Cardiopulmonary Physiology and Monitoring,3,,,"Admission to Respiratory Therapy, Senior status",Online,
2371,RESP 422,Current Issues in Respiratory Care,3,,,"Admission to Respiratory Therapy, Senior status",Online,
2372,RESP 424,Teaching and Learning Respiratory Therapy,3,,,"Admission to Respiratory Therapy, Senior status",Residential and Online,
2373,RESP 430,Fundamentals of Respiratory Care Research,3,,,"Admission to Respiratory Therapy, Senior status",Online,
2374,RESP 432,Respiratory Care Management and Leadership,3,,,"Admission to Respiratory Therapy, Junior/Senior status",Online,
2375,RUSS 101,Elementary Russian I,3,,,,Residential,
2376,RUSS 102,Elementary Russian II,3,([RUSS 101]),,,Residential,
2377,RUSS 201,Intermediate Russian I,3,([RUSS 102]),,,Residential,
2378,RUSS 202,Intermediate Russian II,3,([RUSS 201]),,,Residential,
