,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
511,CLCM 210,Introduction to Camp and Outdoor Adventure Leadership,3,,,,Residential,
512,CLCM 220,Foundations and Programming in Camp and Outdoor Leadership,3,,,,Residential,
513,CLCM 250,Introduction to Christian Ministry,3,,,,Online,
514,CLCM 301,Biblical and Theological Foundations of Digital Ministry,3,,([RLGN 301]),,Online,
515,CLCM 305,Legal Issues in Camp Ministry,3,([CLCM 210] or COAL 210),,,Residential,
516,CLCM 310,Christian Camp: Site Plan and Design,3,([CLCM 210] or COAL 210 or [CLCM 220] or COAL 220),,,Residential,
517,CLCM 350,Formation and Community in Digital Ministry,3,,([CLCM 301]),,Online,
518,CLCM 370,Managing the Christian Ministry Organization,3,([CLCM 210] or COAL 210 or COAL 220 or [CLCM 220]),,,Residential,
519,CLCM 401,Digital Discipleship,3,,([CLCM 301]),,Online,
520,CLCM 405,Ministry Finance,3,([CLCM 210] or COAL 210) and ([CLCM 220] or COAL 220),,,Residential,
521,CLCM 410,Principles of Ministry Marketing,3,([CLCM 210] or COAL 210) and ([CLCM 220] or COAL 220),,,Residential,
522,CLCM 415,Congregational Care in Disability Ministry,3,,([BIBL 360] and [CHMN 325] and [RLGN 301]),,Online,
523,CLCM 450,Digital Ministry Development and Administration,3,,([CLCM 301]),,Online,
524,CLCM 460,"Camp and Outdoor Ministry: Property, Programs, Policies, and Procedure",3,([CLCM 210] or COAL 210 or COAL 220 or [CLCM 220]) and ([CLCM 310] or COAL 310 or COAL 370 or [CLCM 370]),,,Residential,
525,CLCM 475,Humanitarian Action in Praxis,3,,([CLCM 205] and [GLST 220] and [THEO 320] and [THEO 325]),,Online,
526,CLCM 480,Disability Ministry Across the Generations,3,([CHMN 201] and [THEO 324]),,,Residential,
527,CLCM 489,Christian Ministry Capstone Seminar,3,,([BIBL 360] and [CLCM 250] and [RLGN 301] and [RLGN 360] and [THEO 360]),,Online,
528,CLCM 497,Special Topics in CLCM,1-3,,,,Residential,
529,CLCM 499,Internship/Practicum,1-6,([CLCM 210] or COAL 210) and ([CLCM 220] or COAL 220) and ([CLCM 310] or COAL 310),,Junior Status and approval from program director,Residential,
530,CLED 300,Biblical and Theological Foundations of Christian Leadership,3,,([CHMN 201] and ([THEO 201] or [THEO 104])),,Online,
531,CLED 310,Foundations of Christian Leadership,3,([CHMN 201]),,,Residential,
532,CLED 325,Critical Issues in Ministry Leadership,3,,,,Online,
533,CLED 365,The Personal Development of the Leader,3,([CLED 300] or [CLED 310]),,,Residential and Online,
534,CLED 410,Team Dynamics in Christian Leadership,3,([CLED 310]{concurrent}),,,Residential,
535,CLED 425,Ethical Issues in Christian Leadership,3,([CLED 310]{concurrent}),,,Residential,
536,CLED 450,Organization and Leadership in Ministry,3,,,,Online,
537,CLED 489,Capstone Seminar,3,,([CLED 300] and [CLED 365]),,Online,
538,CLED 499,Christian Leadership Internship,3-6,([CHMN 447] and [CLED 410]),,"Junior status, 21 hours in the major",Residential,
539,CHHI 100,A Survey of the History of Christianity,3,,,,Online,Willmington School of the Bible course
540,CHHI 300,Survey of the History of Christianity,3,,,,Online,
541,CHHI 301,History of the Christian Church I,3,,,,Residential and Online,
542,CHHI 302,History of the Christian Church II,3,,,,Residential and Online,
543,CHHI 325,The Church and Its Mission,3,,,,Residential,
544,CHHI 400,Leaders and Issues in the Early Church,3,,,,Residential,
545,CHHI 403,Reformation,3,,,,Online,
546,CHHI 404,History of Baptists,3,,,,Residential,
547,CHHI 405,History of Anti-Semitism,3,,,,Residential,
548,CHHI 495,Directed Research,1-3,,,,Residential,
549,CHHI 497,Church History Seminar,1-3,,,,Residential,
550,CHMN 101,Evangelism and Christian Life,2,,,,,
551,CHMN 201,Introduction to Church Ministries,3,,,,Residential and Online,
552,CHMN 205,Church Ministry Practicum I,1,([CHMN 201]{concurrent}),,,Residential,
553,CHMN 250,Ministry in Urban Communities,3,,,,Residential,
554,CHMN 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
555,CHMN 300,Church Ministry Practicum II,1,([CHMN 201] and [CHMN 205]),,,Residential,
556,CHMN 301,Foundations of NextGen Ministry,3,,([CHMN 201]),,Online,
557,CHMN 305,Church Ministry Practicum III,1,([CHMN 201] and [CHMN 205] and [CHMN 300]),,,Residential,
558,CHMN 310,Multi Ethnic Church Ministry,3,([CHMN 250]{concurrent}),,,Residential,
559,CHMN 315,Apologetics and Evangelism in an Urban Ministry Context,3,([CHMN 250]{concurrent}),,,Residential,
560,CHMN 323,Foundations of Children’s Ministry,3,([CHMN 201]),,,Residential,
561,CHMN 325,Introduction to Disability Ministry in the Church,3,,([BIBL 360] and [RLGN 301]),,Online,
562,CHMN 350,Accessibility and Inclusion in Church Ministry,3,,([BIBL 360] and [CHMN 325] and [RLGN 301]),,Online,
563,CHMN 360,Foundations in Ministry Programming,3,([CHMN 201] and [CHMN 205]),,,Residential,
564,CHMN 365,Communication Skills for Children’s Ministry,3,([CHMN 201] and [CHMN 323]),,,Residential,
565,CHMN 387,Methods of Teaching Bible and Religion,3,,([RLGN 301] and ([BIBL 105] and [BIBL 110] and [BIBL 360] and [THEO 360]) or ([BIBL 105] and [BIBL 110] and [BIBL 350] and [THEO 360]) or ([BIBL 105] and [BIBL 110] and [BIBL 360] and [THEO 350]) or ([BIBL 104] and [BIBL 360] and [THEO 360]) or ([BIBL 104] and [BIBL 350] and [THEO 360]) or ([BIBL 104] and [BIBL 360] and [THEO 350])),,Online,
566,CHMN 400,Leading NextGen Ministry,3,,([YOUT 201] and [CHMN 301] and [THEO 330]),,Online,
567,CHMN 410,Leading Children's Ministry,3,([CHMN 201] and [CHMN 323]),,,Residential,
568,CHMN 420,Contemporary Issues in Urban Ministry,3,([CHMN 250]{concurrent}),,,Residential,
569,CHMN 447,Discipleship in Church Ministries,3,([CHMN 201] and [CHMN 205] and [CHMN 300] and [CHMN 360]),,,Residential,
570,CHMN 450,Leadership and Management in Ministry,3,([CHMN 201] and [CHMN 205] and [CHMN 300] and [CHMN 360]),,,Residential,
571,CHMN 489,Church Ministries Capstone,3,,,Senior status; taken during the last semester of coursework,Residential,
572,CHMN 495,Directed Research,1-3,,,,Residential,
573,CHMN 497,Special Topics in Church Ministry,1-3,,,,Residential,
574,CHMN 499,Internship,1-6,,,"Junior/Senior status, and approval of Department Chair only",Residential,
575,CINE 101,Cinematic Arts Appreciation I,3,,,,Residential,
576,CINE 110,Cinematic Arts Appreciation II,3,,,,Residential,
577,CINE 201,Introduction to Screenwriting,3,,,,Residential and Online,
578,CINE 202,Introduction to Motion Picture Directing,3,,,,Residential,
579,CINE 203,Introduction to Cinematography and Sound Design,3,,,,Residential,
580,CINE 204,Guerilla Filmmaking,3,,,,Residential,
581,CINE 260,Introduction to Documentary Filmmaking,3,,,,Residential,
582,CINE 271,Pro Tools Fundamentals I,3,,,,Residential,
583,CINE 272,Pro Tools Fundamentals II,3,([CINE 271]),,"CINE 201,202,203; Program Director waiver, if needed",Residential,
584,CINE 281,Media Composer Fundamentals I,3,((INFT Excel Test with a score of 5 and INFT PowerPoint Test with a score of 5 and INFT Word Test with a score of 5) or [INFT 110] or [INFT 111]),,Instructor Approval Required,Residential,
585,CINE 282,Media Composer Fundamentals II,3,,,Instructor Approval Required,Residential,
586,CINE 299,Internship,0,,,,Residential,
